"C","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","model"
0.16,0.714660479294626,0.607657657657658,0.708594657375145,0.0679910020393688,0.129032630330317,0.0868243542487234,"L2_Linear_SVM"
0.2,0.714143498899596,0.575075075075075,0.723112659698026,0.0696142648466952,0.118827504525205,0.0978641726915987,"L2_Linear_SVM"
0.3,0.70981181529962,0.558708708708709,0.732636469221835,0.0696621181376541,0.123717254707116,0.101919767920245,"L2_Linear_SVM"
1,0.709679976143391,0.558708708708709,0.723112659698026,0.0695203514575687,0.119206832133842,0.0978641726915987,"L2_Linear_SVM"
0.1,0.691174362515826,0.543693693693694,0.713240418118467,0.0431146529852866,0.02505978566793,0.0456768747471391,"L2_Linear_SVM"
0.12,0.695444224712517,0.554504504504505,0.703484320557491,0.0448558803398467,0.0199168387112019,0.0252716680865393,"L2_Linear_SVM"
0.13,0.697375598595111,0.565315315315315,0.708246225319396,0.0444289350535689,0.0365253935590695,0.0296753081409031,"L2_Linear_SVM"
0.14,0.698930725150237,0.549099099099099,0.717770034843206,0.0446305308764894,0.0191375187263496,0.034561384474719,"L2_Linear_SVM"
0.15,0.702035659352732,0.554504504504505,0.703484320557491,0.0433881087252807,0.0276027273871235,0.0539094695208674,"L2_Linear_SVM"
0.16,0.704078730298243,0.576126126126126,0.708130081300813,0.0418793179965764,0.0484208044546326,0.03521769330923,"L2_Linear_SVM"
0.2,0.706121801243752,0.554504504504505,0.717770034843206,0.0411941365434569,0.0386312146990941,0.034561384474719,"L2_Linear_SVM"
0.3,0.706489939416769,0.576126126126126,0.717770034843206,0.0415178280408873,0.0520557816096694,0.0301834819858678,"L2_Linear_SVM"
1,0.706876039802869,0.554504504504505,0.73205574912892,0.0411671217715526,0.0508729892379736,0.0352152992903628,"L2_Linear_SVM"
0.1,0.728726374458082,0.598048048048048,0.727526132404181,0.0523888556355919,0.114350454642417,0.0675377717725049,"L2_Linear_SVM"
0.12,0.726819240843631,0.608858858858859,0.703716608594657,0.051167126499195,0.101390271695077,0.0670755589319967,"L2_Linear_SVM"
0.13,0.725778042851214,0.608858858858859,0.708478513356562,0.049710600534782,0.101390271695077,0.0766297515702477,"L2_Linear_SVM"
0.14,0.72733726758117,0.587237237237237,0.718002322880372,0.0482922185342456,0.110872949040092,0.0647790595608728,"L2_Linear_SVM"
0.15,0.726820723162187,0.598048048048048,0.722764227642276,0.049023232338039,0.097075875104627,0.0695151301949587,"L2_Linear_SVM"
0.16,0.726942709259782,0.598048048048048,0.718002322880372,0.0483011086170172,0.0989391511096035,0.060244776815545,"L2_Linear_SVM"
